-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2023 through 11/30/2023 in LST
Location: Latitude  7.3775   Longitude 3.94 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 188.89 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,MO,DY,HR,T2M,ALLSKY_SFC_SW_DWN,RH2M
2023,1,1,0,17.88,0.0,80.8
2023,1,1,1,17.07,0.0,82.41
2023,1,1,2,16.55,0.0,81.65
2023,1,1,3,16.12,0.0,80.48
2023,1,1,4,15.73,0.0,79.89
2023,1,1,5,15.36,0.0,80.04
2023,1,1,6,16.07,40.6,76.86
2023,1,1,7,18.18,217.55,69.33
2023,1,1,8,20.79,395.4,67.16
2023,1,1,9,24.33,582.92,61.17
2023,1,1,10,27.67,720.75,47.38
2023,1,1,11,29.39,804.35,41.9
2023,1,1,12,30.07,792.0,40.95
2023,1,1,13,30.27,700.88,41.98
2023,1,1,14,30.03,536.17,44.12
2023,1,1,15,29.89,334.58,46.37
2023,1,1,16,28.55,139.88,53.28
2023,1,1,17,26.57,13.4,59.31
2023,1,1,18,25.97,0.0,55.19
2023,1,1,19,25.45,0.0,55.38
2023,1,1,20,24.98,0.0,55.6
2023,1,1,21,24.21,0.0,57.81
2023,1,1,22,22.87,0.0,64.01
2023,1,1,23,21.57,0.0,70.6
2023,1,2,0,20.35,0.0,76.99
2023,1,2,1,19.37,0.0,81.91
2023,1,2,2,18.59,0.0,85.23
2023,1,2,3,17.99,0.0,87.07
2023,1,2,4,17.54,0.0,87.58
2023,1,2,5,17.15,0.0,87.48
2023,1,2,6,18.0,39.47,84.17
2023,1,2,7,20.22,202.5,72.45
2023,1,2,8,22.4,403.25,69.36
2023,1,2,9,25.74,588.5,58.81
2023,1,2,10,28.3,729.53,48.8
2023,1,2,11,29.53,774.65,45.96
2023,1,2,12,30.17,766.53,45.0
2023,1,2,13,30.33,680.17,45.39
2023,1,2,14,30.15,523.72,46.39
2023,1,2,15,29.9,318.95,48.57
2023,1,2,16,28.29,145.18,57.25
2023,1,2,17,25.56,13.7,68.85
2023,1,2,18,24.65,0.0,65.77
2023,1,2,19,24.33,0.0,64.27
2023,1,2,20,24.17,0.0,62.33
2023,1,2,21,23.91,0.0,61.26
2023,1,2,22,23.31,0.0,62.63
2023,1,2,23,22.53,0.0,65.24
2023,1,3,0,21.38,0.0,69.97
2023,1,3,1,20.1,0.0,76.15
2023,1,3,2,19.07,0.0,80.6
2023,1,3,3,18.21,0.0,83.95
2023,1,3,4,17.75,0.0,84.83
2023,1,3,5,17.42,0.0,84.53
2023,1,3,6,17.98,34.5,81.19
2023,1,3,7,19.53,181.88,73.95
2023,1,3,8,21.65,355.9,70.86
2023,1,3,9,24.5,531.25,62.99
2023,1,3,10,27.01,670.45,52.54
2023,1,3,11,28.84,764.0,46.15
2023,1,3,12,29.69,753.28,44.09
2023,1,3,13,30.0,662.9,43.98
2023,1,3,14,29.78,508.77,46.38
2023,1,3,15,29.6,315.0,47.35
2023,1,3,16,27.79,135.27,61.03
2023,1,3,17,25.3,13.23,69.55
2023,1,3,18,24.12,0.0,69.9
2023,1,3,19,23.19,0.0,73.44
2023,1,3,20,22.46,0.0,75.83
2023,1,3,21,21.86,0.0,77.58
2023,1,3,22,21.4,0.0,78.97
2023,1,3,23,21.07,0.0,79.38
2023,1,4,0,20.63,0.0,80.5
2023,1,4,1,19.9,0.0,83.83
2023,1,4,2,19.05,0.0,87.43
2023,1,4,3,18.55,0.0,88.44
2023,1,4,4,18.19,0.0,88.08
2023,1,4,5,17.82,0.0,87.72
2023,1,4,6,18.56,35.42,85.17
2023,1,4,7,20.74,193.82,73.65
2023,1,4,8,22.76,359.45,70.27
2023,1,4,9,25.92,543.2,60.34
2023,1,4,10,28.76,685.2,48.6
2023,1,4,11,30.01,765.88,46.22
2023,1,4,12,30.65,753.17,45.87
2023,1,4,13,30.85,666.45,46.27
2023,1,4,14,30.55,518.1,48.72
2023,1,4,15,30.16,315.67,51.79
2023,1,4,16,28.77,131.18,61.74
2023,1,4,17,26.95,14.77,67.24
2023,1,4,18,26.21,0.0,65.55
2023,1,4,19,25.43,0.0,68.22
2023,1,4,20,24.69,0.0,70.69
2023,1,4,21,23.78,0.0,74.51
